B2,B3,B4,B5,B6,B7
0.0276,0.0148,0.0042,0.0022,0.0027,0.0035
0.0277,0.01565,0.0082,0.0073,0.00585,0.00455
0.02535,0.01485,0.0083,0.00745,0.01005,0.0092
0.02415,0.01405,0.00775,0.00705,0.0093,0.0088
0.0206,0.0263,0.0208,0.023,0.0245,0.0205
0.0256,0.0234,0.01855,0.0182,0.0155,0.01445
0.0268,0.01505,0.0076,0.0085,0.01355,0.01255
0.0273,0.0249,0.0119,0.0101,0.0147,0.0153
0.0178,0.01845,0.00835,0.00595,0.0097,0.0088
0.0296,0.02165,0.01305,0.0088,0.008,0.0073
0.0268,0.02065,0.0103,0.00715,0.0088,0.0078
0.0218,0.0167,0.0088,0.0065,0.006,0.0047
0.0233,0.0183,0.0104,0.0064,0.0058,0.00475
0.02645,0.04165,0.03055,0.15485,0.0669,0.03885
0.0174,0.0399,0.0238,0.1865,0.0738,0.0355
0.01285,0.01435,0.00685,0.0201,0.00905,0.0061
0.0138,0.0265,0.0167,0.1989,0.0689,0.0293
0.01405,0.03355,0.02255,0.2274,0.0826,0.0373
0.02345,0.03405,0.0262,0.14745,0.0509,0.0272
0.0152,0.0343,0.0252,0.2147,0.0841,0.0401
0.0118,0.0305,0.0177,0.2032,0.0768,0.0324
0.014,0.0311,0.0195,0.1614,0.05115,0.024
0.01435,0.01745,0.00845,0.06965,0.0244,0.0112
0.012,0.0123,0.0052,0.01865,0.0078,0.0057
0.036,0.0549,0.0469,0.2655,0.163,0.0829
0.0404,0.0617,0.0562,0.2431,0.15825,0.09635
0.0178,0.0315,0.0217,0.2241,0.076,0.031
0.01105,0.03025,0.01665,0.24255,0.08975,0.0373
0.02035,0.04085,0.03355,0.25305,0.13515,0.07045
0.0267,0.0466,0.0461,0.2571,0.1682,0.0934
0.0322,0.0549,0.0495,0.2647,0.1575,0.0921
0.0258,0.0259,0.0215,0.0362,0.0291,0.0239
0.02305,0.01975,0.0125,0.0109,0.00885,0.00715
0.023,0.0169,0.0091,0.0055,0.0035,0.0034
0.0273,0.0246,0.0152,0.0097,0.0071,0.0053
0.0286,0.0233,0.0131,0.0075,0.0053,0.0044
0.0266,0.0282,0.01435,0.0085,0.00575,0.00455
0.0542,0.0716,0.0659,0.207,0.1449,0.0951
0.0662,0.0839,0.0838,0.1423,0.1235,0.0979
0.0459,0.0668,0.0596,0.268,0.1781,0.1013
0.03535,0.05215,0.0436,0.2236,0.118,0.0649
0.05775,0.07855,0.0808,0.2144,0.16095,0.116
0.0386,0.06315,0.05485,0.2839,0.16565,0.0912
0.0103,0.0199,0.0122,0.1522,0.0519,0.0212
0.0181,0.0363,0.0276,0.2448,0.0989,0.0409
0.02485,0.04175,0.03275,0.2266,0.1153,0.063
0.0434,0.0536,0.042,0.20015,0.0603,0.0296
0.03945,0.05,0.0454,0.1839,0.1311,0.07515
0.03625,0.05435,0.04075,0.29435,0.13965,0.06975
0.0517,0.0691,0.0699,0.1465,0.0818,0.0516
0.1645,0.182,0.1736,0.2687,0.0666,0.0413
0.0155,0.0366,0.0241,0.2075,0.0811,0.039
0.0327,0.0591,0.0484,0.2463,0.1498,0.088
0.0845,0.0981,0.0873,0.2212,0.0902,0.0601
0.504,0.5368,0.5398,0.4983,0.1245,0.1032
0.8962,0.92165,0.93445,0.88995,0.0816,0.0877
0.0307,0.0409,0.0339,0.1404,0.0503,0.0273
0.0282,0.0443,0.0362,0.1925,0.1108,0.0622
0.0318,0.05225,0.0441,0.21855,0.11305,0.06085
0.0328,0.05675,0.04805,0.24085,0.13605,0.07895
0.0484,0.0813,0.0863,0.1968,0.2067,0.1408
0.0644,0.0844,0.0854,0.1852,0.1621,0.1118
0.02245,0.0414,0.0341,0.15205,0.08655,0.0495
0.02105,0.0389,0.0296,0.17105,0.0885,0.0506
0.02535,0.04305,0.03875,0.19385,0.1202,0.0716
0.0245,0.0407,0.0319,0.1642,0.088,0.0488
0.0456,0.0675,0.0768,0.2412,0.1991,0.1214
0.045,0.0615,0.0712,0.2137,0.1944,0.1295
0.0245,0.0408,0.0341,0.1642,0.0937,0.0561
0.0372,0.0692,0.0621,0.2395,0.1303,0.0744
0.0469,0.0718,0.0704,0.2184,0.1969,0.1211
0.0259,0.0485,0.0364,0.1985,0.1165,0.0664
0.0351,0.0603,0.0501,0.1974,0.1249,0.0674
0.0451,0.0748,0.0789,0.2794,0.1442,0.0972
0.0355,0.05405,0.05365,0.2171,0.09435,0.05395
0.0303,0.0451,0.042,0.1772,0.1235,0.0734
0.0251,0.0409,0.034,0.1741,0.103,0.0556
0.0504,0.075,0.0789,0.2939,0.2131,0.1485
0.0166,0.0329,0.0288,0.1555,0.0665,0.0327
0.0224,0.053,0.03345,0.1848,0.0714,0.03945
0.02825,0.05315,0.036,0.2104,0.1039,0.0531
0.0211,0.03885,0.0302,0.1764,0.0935,0.0486
0.02855,0.05595,0.0424,0.1932,0.1079,0.0593
0.0244,0.0424,0.0325,0.2299,0.1103,0.0557
0.0476,0.0696,0.0698,0.2391,0.1884,0.1207
0.0404,0.0638,0.0609,0.2881,0.1493,0.0902
0.04065,0.06785,0.0606,0.2755,0.1349,0.0779
0.02245,0.0348,0.02145,0.16785,0.05775,0.029
0.0403,0.074,0.0444,0.21765,0.1094,0.0634
